4578 46085
768 spot 2
769 gas 16
770 livios 1
771 merge 3
772 code 19
773 homework 8
774 classmate 1
775 boring 1
776 st 12
777 dunno 14
778 ambers 6
779 sumthin 6
780 party 22
781 supposed 6
782 attached 2
783 bob 40
784 txt 5
785 saying 5
786 changed 3
787 replies 1
788 group 10
789 ezra 2
790 texts 2
791 guitar 5
792 cell 9
793 josh 1
794 gave 14
795 mu 1
796 were 81
797 bw 1
798 deleted 1
799 undelete 1
800 mixup 1
801 forms 2
802 onto 2
803 site 4
804 sending 13
805 emails 4
806 filled 2
807 submitted 2
808 wrong 9
809 help 45
810 cam 3
811 plugin 1
812 itself 3
813 arg 4
814 worry 9
815 glitter 1
816 suck 6
817 jennys 4
818 ppl 6
819 drinks 5
820 grading 1
821 final 4
822 nobody 2
823 ton 1
824 things 25
825 potentially 1
826 lil 7
827 fishing 1
828 spots 1
829 nope 22
830 public 1
831 finished 6
832 pretty 18
833 tired 9
834 dates 1
835 dc 2
836 feeling 14
837 sim 1
838 patico 3
839 hungry 6
840 pizza 10
841 thinken 2
842 munchies 1
843 haha 19
844 joint 5
845 burrito 1
846 ideas 2
847 which 19
848 far 12
849 pick 20
850 cu 3
851 passing 2
852 columbia 1
853 yo 7
854 grappling 2
855 caught 5
856 week 37
857 due 12
858 prices 2
859 early 21
860 hope 61
861 fend 2
862 love 139
863 deal 10
864 oc 1
865 stay 21
866 pajamas 1
867 comfortable 2
868 though 12
869 apparently 9
870 small 9
871 world 5
872 speaks 1
873 highly 1
874 proud 3
875 everyone 22
876 knows 6
877 talks 2
878 wonderful 3
879 feel 11
880 related 3
881 bills 3
882 friend 29
883 graduated 2
884 least 13
885 longer 8
886 jennifer 1
887 scheduling 1
888 even 19
889 tho 16
890 shared 2
891 calendar 4
892 likes 3
893 keep 42
894 important 3
895 reason 4
896 hanging 11
897 marvin 1
898 w 12
899 eating 13
900 awhile 4
901 gng 4
902 hooters 1
903 cmmng 1
904 foggy 1
905 drew 1
906 estate 1
907 bonfire 15
908 kid 4
909 thinking 14
910 methe 1
911 ends 4
912 bored 1
913 until 21
914 arent 11
915 maam 1
916 getting 36
917 mins 4
918 alot 1
919 leaving 26
920 city 10
921 jim 19
922 kicking 1
923 went 29
924 barely 3
925 awake 5
926 driving 8
927 tons 1
928 another 25
929 little 30
930 start 11
931 youngest 1
932 super 2
933 sociable 1
934 hydro 2
935 picnic 3
936 tablesim 1
937 moving 4
938 anyways 4
939 promise 5
940 biggie 2
941 midnight 5
942 whens 1
943 tomo 4
944 fustrating 1
945 problems 5
946 guessing 2
947 easily 1
948 fixable 1
949 recall 3
950 list 6
951 mel 1
952 office 24
953 waiting 20
954 light 5
955 yeeeha 1
956 orleans 1
957 amy 2
958 lookin 2
959 evening 9
960 gets 11
961 round 1
962 cancel 2
963 mine 8
964 celebrating 1
965 birthday 26
966 doi 1
967 ng 2
968 count 3
969 relaxing 4
970 june 5
971 full 6
972 weekends 4
973 friday 16
974 late 57
975 seeing 6
976 movie 1
977 depending 3
978 decide 2
979 oooo 1
980 visit 7
981 pa 4
982 surprise 2
983 dr 17
984 miss 37
985 sundays 1
986 row 4
987 alone 3
988 vacation 6
989 gotcha 6
990 moved 6
991 forward 11
992 figured 7
993 details 10
994 decided 2
995 bbq 2
996 youre 8
997 br 1
998 yan 1
999 michelle 12
1000 invite 12
1001 stands 1
1002 shoot 8
1003 beforehand 1
1004 afternoon 5
1005 drop 11
1006 susie 29
1007 shes 11
1008 loser 1
1009 ignoring 1
1010 door 19
1011 bug 3
1012 beach 3
1013 noon 10
1014 win 4
1015 installled 1
1016 portable 1
1017 gb 1
